zip_code,ride_id,started_at_date,ride_length
07030,9E28B6F7E6FF81D3,2022-11-05,13
07030,1B05EFC57F6CFE87,2022-11-20,2
07030,880EF76884CC76A5,2022-11-06,26
07030,BBD5EF6CC9253937,2022-11-04,3
07030,4F7390C00D7240BA,2022-11-05,23
07030,AFEB0EBD47FE90C9,2022-11-21,0
07030,AA6A9E1824FE1FE3,2022-11-04,4
07030,E1011563196AA3B4,2022-11-10,0
07030,2440BDC9FBA65566,2022-11-14,26
07030,FE8C0F7A3CE395CD,2022-11-24,36
07030,5731212B1597A72C,2022-11-12,85
07030,8ADA14DDDB2E2146,2022-11-12,83
07030,C9BA2BC8BE29DB42,2022-11-07,53
07030,7D74E0608513C757,2022-11-22,3
07030,9DE212044D22D1F4,2022-11-22,40
07030,A3BA6E94D5CE5D89,2022-11-09,0
07030,16F45ACBD2ED1B1E,2022-11-29,1
07030,9CFCAF904BCBFC9C,2022-11-21,0
07030,3790A837623974EF,2022-11-12,12
07030,000F82E7BAFB47C9,2022-11-28,0
07030,7375EF78D5488188,2022-11-02,4
07030,FF8517718236277E,2022-11-09,8
07030,78783888DFF89D20,2022-11-06,11
07030,631D7983A74CEFE7,2022-11-06,7
07030,11B857C4CFC4EA33,2022-11-05,27
07030,3F825331D22FDA2D,2022-11-05,4
07030,D5FA49E80582796B,2022-11-19,27
07030,E9C8D34657F489CD,2022-11-19,5
07030,E2B5ECED7C6FB97D,2022-11-10,10
07030,5E7FE314CBFF7B8C,2022-11-01,29
07030,ED208C0F0AC5A727,2022-11-05,10
07030,D25630BE2AB53A64,2022-11-05,5
07030,D41A97BA129C2BE3,2022-11-08,52
07030,49556E0FD0528136,2022-11-11,25
07030,411BA357030E911C,2022-11-13,34
07030,30E859169AEE4541,2022-11-26,19
07030,169957FF8E8FCEDB,2022-11-05,45
07030,4A51E198298E883A,2022-11-12,7
07030,382C90820720890E,2022-11-09,13
07030,E7AEBD388C7AD3D4,2022-11-07,3
07030,7D94AF9C7EBE46FC,2022-11-14,4
07030,09751B6EF05A8D25,2022-11-07,180
07030,3C463A4EA1DF9310,2022-11-05,8
07030,9454B6CBA50940D0,2022-11-05,21
07030,E265DCCB8821D7B2,2022-11-12,42
07030,A8358F748B168D27,2022-11-21,2
07030,BB00AE80DDAB422D,2022-11-03,1
